building_key,base_unit_token,record_count,condo_count,parking_count,storage_count,other_count,unit_tokens,addresses
3000 SOMERVALE CO SW,316,1,1,0,0,0,316,316 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,317,1,1,0,0,0,317,317 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,318,1,1,0,0,0,318,318 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,319,1,1,0,0,0,319,319 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,401,1,1,0,0,0,401,401 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,402,1,1,0,0,0,402,402 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,403,1,1,0,0,0,403,403 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,404,1,1,0,0,0,404,404 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,405,1,1,0,0,0,405,405 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,406,1,1,0,0,0,406,406 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,407,1,1,0,0,0,407,407 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,408,1,1,0,0,0,408,408 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,409,1,1,0,0,0,409,409 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,410,1,1,0,0,0,410,410 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,411,1,1,0,0,0,411,411 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,412,1,1,0,0,0,412,412 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,413,1,1,0,0,0,413,413 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,414,1,1,0,0,0,414,414 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,415,1,1,0,0,0,415,415 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,416,1,1,0,0,0,416,416 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,417,1,1,0,0,0,417,417 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,418,1,1,0,0,0,418,418 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,419,1,1,0,0,0,419,419 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,76,1,0,1,0,0,76V,76V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,77,1,0,1,0,0,77V,77V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,78,1,0,1,0,0,78V,78V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,79,1,0,1,0,0,79V,79V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,80,1,0,1,0,0,80V,80V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,81,1,0,1,0,0,81V,81V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,82,1,0,1,0,0,82V,82V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,83,1,0,1,0,0,83V,83V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,84,1,0,1,0,0,84V,84V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,85,1,0,1,0,0,85V,85V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,86,1,0,1,0,0,86V,86V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,87,1,0,1,0,0,87V,87V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,88,1,0,1,0,0,88V,88V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,89,1,0,1,0,0,89V,89V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,90,1,0,1,0,0,90V,90V 3000 SOMERVALE CO SW
